country,distance,mileage
Distance from China to Dominican Republic,"13,915 km","8,646 miles"
Distance from China to Algeria,"9,241 km","5,742 miles"
Distance from China to Ecuador,"16,223 km","10,081 miles"
Distance from China to Estonia,"6,071 km","3,772 miles"
Distance from China to Egypt,"6,883 km","4,277 miles"
Distance from China to Western Sahara,"10,621 km","6,600 miles"
Distance from China to Eritrea,"6,736 km","4,186 miles"
Distance from China to Spain,"8,788 km","5,461 miles"
Distance from China to Ethiopia,"7,051 km","4,381 miles"
Distance from China to Finland,"5,961 km","3,704 miles"
Distance from China to Fiji,"9,777 km","6,075 miles"
Distance from China to Falkland Islands,"17,825 km","11,076 miles"
Distance from China to Micronesia,"6,351 km","3,946 miles"
Distance from China to Faroe Islands,"7,529 km","4,678 miles"
Distance from China to France,"8,022 km","4,985 miles"
Distance from China to Gabon,"10,293 km","6,396 miles"
Distance from China to United Kingdom,"7,780 km","4,834 miles"
Distance from China to Grenada,"14,478 km","8,996 miles"
Distance from China to French Guiana,"15,000 km","9,321 miles"
Distance from China to Guernsey,"8,112 km","5,041 miles"
Distance from China to Ghana,"10,836 km","6,733 miles"
Distance from China to Gibraltar,"9,199 km","5,716 miles"
Distance from China to Greenland,"7,774 km","4,831 miles"
Distance from China to Gambia,"11,631 km","7,227 miles"
Distance from China to Guinea,"11,435 km","7,105 miles"
Distance from China to Equatorial Guinea,"10,254 km","6,372 miles"
Distance from China to Greece,"7,014 km","4,358 miles"
Distance from China to South Georgia and the South Sandwich Islands,"16,382 km","10,179 miles"
Distance from China to Guam,"4,750 km","2,952 miles"
Distance from China to Guinea-Bissau,"11,745 km","7,298 miles"
Distance from China to Guyana,"15,157 km","9,418 miles"
Distance from China to Hong Kong,"1,778 km","1,105 miles"
Distance from China to Heard Island and McDonald Islands,"10,325 km","6,416 miles"
Distance from China to Honduras,"14,232 km","8,843 miles"
Distance from China to Croatia,"7,211 km","4,481 miles"
Distance from China to Haiti,"13,907 km","8,641 miles"
Distance from China to Hungary,"6,814 km","4,234 miles"
Distance from China to Indonesia,"4,198 km","2,609 miles"
Distance from China to Ireland,"8,160 km","5,070 miles"
Distance from China to Israel,"6,320 km","3,927 miles"
Distance from China to Isle of Man,"7,911 km","4,916 miles"
Distance from China to India,"2,984 km","1,854 miles"
Distance from China to British Indian Ocean Territory,"5,839 km","3,628 miles"
Distance from China to Iraq,"5,460 km","3,393 miles"
Distance from China to Iran,"4,612 km","2,866 miles"
Distance from China to Iceland,"7,778 km","4,833 miles"
Distance from China to Italy,"7,566 km","4,701 miles"
Distance from China to Jersey,"8,101 km","5,034 miles"
Distance from China to Jamaica,"14,012 km","8,707 miles"
Distance from China to Jordan,"6,221 km","3,866 miles"
Distance from China to Japan,"3,047 km","1,893 miles"
Distance from China to Kenya,"7,894 km","4,905 miles"
Distance from China to Kyrgyzstan,"2,614 km","1,624 miles"
Distance from China to Cambodia,"2,592 km","1,611 miles"
Distance from China to Kiribati,"10,644 km","6,614 miles"
Distance from China to Comoros,"8,277 km","5,143 miles"
Distance from China to Saint Kitts and Nevis,"13,941 km","8,663 miles"
Distance from China to North Korea,"2,093 km","1,301 miles"
Distance from China to South Korea,"2,118 km","1,316 miles"
Distance from China to Kosovo,"6,917 km","4,298 miles"
Distance from China to Kuwait,"5,290 km","3,287 miles"
Distance from China to Cayman Islands,"13,853 km","8,608 miles"
Distance from China to Kazakhstan,"3,325 km","2,066 miles"
Distance from China to Laos,"1,787 km","1,110 miles"
Distance from China to Lebanon,"6,106 km","3,794 miles"
Distance from China to Liechtenstein,"7,489 km","4,653 miles"
Distance from China to Sri Lanka,"3,917 km","2,434 miles"
Distance from China to Liberia,"11,664 km","7,248 miles"
Distance from China to Lesotho,"10,765 km","6,689 miles"
Distance from China to Lithuania,"6,230 km","3,871 miles"
Distance from China to Latvia,"6,138 km","3,814 miles"
Distance from China to Libya,"8,078 km","5,019 miles"
Distance from China to Morocco,"9,634 km","5,986 miles"
Distance from China to Monaco,"7,824 km","4,862 miles"
Distance from China to Moldova,"6,177 km","3,838 miles"
Distance from China to Montenegro,"7,026 km","4,366 miles"
Distance from China to Saint Martin,"13,868 km","8,617 miles"
Distance from China to Madagascar,"8,557 km","5,317 miles"
Distance from China to Marshall Islands,"6,662 km","4,140 miles"
Distance from China to Macedonia,"6,900 km","4,287 miles"
Distance from China to Mali,"10,418 km","6,473 miles"
Distance from China to Myanmar,"1,744 km","1,084 miles"
Distance from China to Mongolia,"1,224 km",761 miles
Distance from China to Macao,"1,768 km","1,099 miles"
Distance from China to Northern Mariana Islands,"4,711 km","2,927 miles"
Distance from China to Mauritania,"10,718 km","6,660 miles"
Distance from China to Montserrat,"13,993 km","8,695 miles"
Distance from China to Malta,"7,757 km","4,820 miles"
Distance from China to Mauritius,"7,946 km","4,937 miles"
Distance from China to Maldives,"4,915 km","3,054 miles"
Distance from China to Malawi,"9,133 km","5,675 miles"
Distance from China to Malaysia,"3,527 km","2,192 miles"
Distance from China to Mozambique,"9,422 km","5,855 miles"
Distance from China to Namibia,"11,113 km","6,905 miles"
Distance from China to New Caledonia,"9,028 km","5,610 miles"
Distance from China to Norfolk Island,"9,821 km","6,102 miles"
Distance from China to Nigeria,"9,909 km","6,157 miles"
Distance from China to Nicaragua,"14,507 km","9,014 miles"
Distance from China to Netherlands,"7,486 km","4,652 miles"
Distance from China to Norway,"6,891 km","4,282 miles"
Distance from China to Nepal,"2,059 km","1,279 miles"
Distance from China to Nauru,"7,621 km","4,735 miles"
Distance from China to Niue,"10,883 km","6,762 miles"
Distance from China to New Zealand,"11,167 km","6,939 miles"
Distance from China to Oman,"4,917 km","3,055 miles"
Distance from China to Peru,"17,048 km","10,593 miles"
Distance from China to French Polynesia,"12,601 km","7,830 miles"
Distance from China to Papua New Guinea,"6,261 km","3,890 miles"
Distance from China to Philippines,"3,103 km","1,928 miles"
Distance from China to Pakistan,"3,285 km","2,041 miles"
Distance from China to Poland,"6,640 km","4,126 miles"
Distance from China to Saint Pierre and Miquelon,"10,611 km","6,593 miles"
Distance from China to Pitcairn,"14,868 km","9,239 miles"
Distance from China to Puerto Rico,"13,924 km","8,652 miles"
Distance from China to Palestinian Territory,"6,239 km","3,877 miles"
Distance from China to Portugal,"9,158 km","5,691 miles"
Distance from China to Palau,"4,411 km","2,741 miles"
Distance from China to Paraguay,"17,848 km","11,090 miles"
Distance from China to Qatar,"5,143 km","3,196 miles"
Distance from China to Romania,"6,476 km","4,024 miles"
Distance from China to Serbia,"6,846 km","4,254 miles"
Distance from China to Russia,"2,855 km","1,774 miles"
Distance from China to Rwanda,"8,731 km","5,425 miles"
Distance from China to Saudi Arabia,"5,767 km","3,583 miles"
Distance from China to Solomon Islands,"7,736 km","4,807 miles"
Distance from China to Seychelles,"6,780 km","4,213 miles"
Distance from China to Sudan,"7,740 km","4,809 miles"
Distance from China to South Sudan,"8,020 km","4,983 miles"
Distance from China to Sweden,"6,379 km","3,964 miles"
Distance from China to Singapore,"3,837 km","2,384 miles"
Distance from China to Slovenia,"7,173 km","4,457 miles"
Distance from China to Svalbard and Jan Mayen,"5,901 km","3,667 miles"
Distance from China to Slovakia,"6,736 km","4,186 miles"
Distance from China to Sierra Leone,"11,716 km","7,280 miles"
Distance from China to Senegal,"11,483 km","7,135 miles"
Distance from China to Somalia,"6,815 km","4,235 miles"
Distance from China to Suriname,"15,136 km","9,405 miles"
Distance from China to Sao Tome and Principe,"10,678 km","6,635 miles"
Distance from China to El Salvador,"14,324 km","8,901 miles"
Distance from China to Sint Maarten,"13,873 km","8,620 miles"
Distance from China to Syria,"5,800 km","3,604 miles"
Distance from China to Swaziland,"10,303 km","6,402 miles"
Distance from China to Turks and Caicos Islands,"13,601 km","8,451 miles"
Distance from China to Chad,"8,608 km","5,349 miles"
Distance from China to French Southern Territories,"10,072 km","6,258 miles"
Distance from China to Togo,"10,630 km","6,605 miles"
Distance from China to Thailand,"2,246 km","1,396 miles"
Distance from China to Tajikistan,"2,913 km","1,810 miles"
Distance from China to Tokelau,"10,068 km","6,256 miles"
Distance from China to East Timor,"5,462 km","3,394 miles"
Distance from China to Turkmenistan,"3,918 km","2,435 miles"
Distance from China to Tunisia,"8,253 km","5,128 miles"
Distance from China to Tonga,"10,571 km","6,569 miles"
Distance from China to Turkey,"5,950 km","3,697 miles"
Distance from China to Trinidad and Tobago,"14,617 km","9,083 miles"
Distance from China to Tuvalu,"9,121 km","5,668 miles"
Distance from China to Tanzania,"8,597 km","5,342 miles"
Distance from China to Ukraine,"5,947 km","3,695 miles"
Distance from China to Uganda,"8,294 km","5,154 miles"
Distance from China to United States Minor Outlying Islands,"6,318 km","3,926 miles"
Distance from China to United States,"11,647 km","7,237 miles"
Distance from China to Uruguay,"18,139 km","11,271 miles"
Distance from China to Uzbekistan,"3,465 km","2,153 miles"
Distance from China to Vatican,"7,573 km","4,706 miles"
Distance from China to Saint Vincent and the Grenadines,"14,342 km","8,912 miles"
Distance from China to Venezuela,"15,216 km","9,455 miles"
Distance from China to British Virgin Islands,"13,866 km","8,616 miles"
Distance from China to U.S. Virgin Islands,"13,880 km","8,625 miles"
Distance from China to Vietnam,"2,458 km","1,527 miles"
Distance from China to Vanuatu,"8,710 km","5,412 miles"
Distance from China to Wallis and Futuna,"9,862 km","6,128 miles"
Distance from China to Samoa,"10,345 km","6,428 miles"
Distance from China to Yemen,"5,929 km","3,684 miles"
Distance from China to Mayotte,"8,222 km","5,109 miles"
Distance from China to South Africa,"11,237 km","6,982 miles"
Distance from China to Zambia,"9,669 km","6,008 miles"
Distance from China to Zimbabwe,"9,964 km","6,191 miles"
Distance from China to Netherlands Antilles,"14,612 km","9,079 miles"
Distance from China to Belize,"13,966 km","8,678 miles"
Distance from China to Djibouti,"6,692 km","4,158 miles"
Distance from China to Georgia,"5,188 km","3,224 miles"
Distance from China to Guadeloupe,"14,028 km","8,717 miles"
Distance from China to Guatemala,"14,075 km","8,746 miles"
Distance from China to Saint Lucia,"14,265 km","8,864 miles"
Distance from China to Luxembourg,"7,564 km","4,700 miles"
Distance from China to Martinique,"14,188 km","8,816 miles"
Distance from China to Mexico,"12,826 km","7,970 miles"
Distance from China to Niger,"9,402 km","5,842 miles"
Distance from China to Panama,"15,051 km","9,352 miles"
Distance from China to Reunion,"8,144 km","5,060 miles"
Distance from China to Saint Helena,"12,814 km","7,962 miles"
Distance from China to San Marino,"7,463 km","4,637 miles"
Distance from China to Taiwan,"2,103 km","1,307 miles"
