Position,code,recommendations,country,theme_code,description
Noted,186.16.,"Ratify the CPED, OP-CAT as well as the Rome Statute ",Tunisia,B51,Right to an effective remedy
Noted,186.16.,"Ratify the CPED, OP-CAT as well as the Rome Statute ",Tunisia,D32,Enforced disappearances
Noted,186.16.,"Ratify the CPED, OP-CAT as well as the Rome Statute ",Tunisia,B11,International humanitarian law
Noted,186.16.,"Ratify the CPED, OP-CAT as well as the Rome Statute ",Tunisia,D25,"Prohibition of torture and cruel, inhuman or degrading treatmentAffected persons:- disappeared persons- general"
Noted,186.22.,Ratify OP-CEDAW ,Spain,A12,Acceptance of international norms
Noted,186.22.,Ratify OP-CEDAW ,Spain,B51,Right to an effective remedy
Noted,186.22.,Ratify OP-CEDAW ,Spain,F12,Discrimination against womenAffected persons:- women
Noted,186.2.,Ratify as soon as possible ICCPR ,Brazil,A12,Acceptance of international norms
Noted,186.2.,Ratify as soon as possible ICCPR ,Brazil,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.2.," Speed up the ratification of the ICCPR, which has been already signed by China ",Bulgaria,A12,Acceptance of international norms
Noted,186.2.," Speed up the ratification of the ICCPR, which has been already signed by China ",Bulgaria,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.2., Speed up the process of the ratification of the ICCPR ,Estonia,A12,Acceptance of international norms
Noted,186.2., Speed up the process of the ratification of the ICCPR ,Estonia,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.2., Expedite the ratification of the ICCPR ,Ghana,A12,Acceptance of international norms
Noted,186.2., Expedite the ratification of the ICCPR ,Ghana,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.3.,Consider ratifying ICCPR ,Cape Verde,A12,Acceptance of international norms
Supported,186.3.,Consider ratifying ICCPR ,Cape Verde,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.4.,Take steps to an early ratification of the ICCPR ,Czech Republic,A12,Acceptance of international norms
Supported,186.4.,Take steps to an early ratification of the ICCPR ,Czech Republic,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.5.,Take steps towards th e ratification of ICCPR ,Benin,A12,Acceptance of international norms
Supported,186.5.,Take steps towards th e ratification of ICCPR ,Benin,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.6.,Continue carrying out administrative and judicial reforms to prepare for the ratification of the ICCPR ,Egypt,A12,Acceptance of international norms
Supported,186.6.,Continue carrying out administrative and judicial reforms to prepare for the ratification of the ICCPR ,Egypt,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.7.,Continue the actions undertaken with the view to ratifying the ICCPR ,Guatemala,A12,Acceptance of international norms
Supported,186.7.,Continue the actions undertaken with the view to ratifying the ICCPR ,Guatemala,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.8.,Continue its national reforms with an aim to ratify the ICCPR ,Latvia,A12,Acceptance of international norms
Supported,186.8.,Continue its national reforms with an aim to ratify the ICCPR ,Latvia,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.9.,Continue to take measures towards ratification of the ICCPR ,Botswana,A12,Acceptance of international norms
Supported,186.9.,Continue to take measures towards ratification of the ICCPR ,Botswana,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.10.,Move towards ratification of the ICCPR at the earliest possible date ,New Zealand,A12,Acceptance of international norms
Supported,186.10.,Move towards ratification of the ICCPR at the earliest possible date ,New Zealand,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.11.,Move towards ratification of the ICCPR in the near future ,Norway,A12,Acceptance of international norms
Noted,186.11.,Move towards ratification of the ICCPR in the near future ,Norway,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.12.,Continue its endeavours to ratify the ICCPR in the very near future  ,Portugal,A12,Acceptance of international norms
Noted,186.12.,Continue its endeavours to ratify the ICCPR in the very near future  ,Portugal,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.13.,Expedite the efforts to ratify the ICCPR ,Republic of Korea,A12,Acceptance of international norms
Noted,186.13.,Expedite the efforts to ratify the ICCPR ,Republic of Korea,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.14.,Accelerate administrative and legislative reforms with a view of ratifying the ICCPR ,Tunisia,A12,Acceptance of international norms
Supported,186.14.,Accelerate administrative and legislative reforms with a view of ratifying the ICCPR ,Tunisia,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.15,Set out a clear legislative timetable for ratification of the ICCPR ,United Kingdom of Great Britain and Northern Ireland,A12,Acceptance of international norms
Noted,186.15,Set out a clear legislative timetable for ratification of the ICCPR ,United Kingdom of Great Britain and Northern Ireland,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.21.,"Ratify outstanding core human rights instruments, including the ICCPR ",Namibia,A12,Acceptance of international norms
Noted,186.21.,"Ratify outstanding core human rights instruments, including the ICCPR ",Namibia,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.32.,Consider ratifying the ICCPR and establishing a National Human Rights Institution ,Zambia,A12,Acceptance of international norms
Supported,186.32.,Consider ratifying the ICCPR and establishing a National Human Rights Institution ,Zambia,D1,Civil & political rights - general measures of implementation
Supported,186.32.,Consider ratifying the ICCPR and establishing a National Human Rights Institution ,Zambia,A45,National Human Rights Institution (NHRI)Affected persons:- general
Noted,186.18.,Speed up the process of ratification of the ICCPR-OP2 ,Estonia,A12,Acceptance of international norms
Noted,186.18.,Speed up the process of ratification of the ICCPR-OP2 ,Estonia,D23,Death penaltyAffected persons:- general
Noted,186.17.,Take steps towards the ratification of ICCPR’s two optional protocols ,Benin,A12,Acceptance of international norms
Noted,186.17.,Take steps towards the ratification of ICCPR’s two optional protocols ,Benin,D23,Death penalty
Noted,186.17.,Take steps towards the ratification of ICCPR’s two optional protocols ,Benin,B51,Right to an effective remedy
Noted,186.17.,Take steps towards the ratification of ICCPR’s two optional protocols ,Benin,D1,Civil & political rights - general measures of implementationAffected persons:- general
Noted,186.1.,Ratify ICCPR ,Albania,A12,Acceptance of international norms
Noted,186.1.,Ratify ICCPR ,Albania,D32,Enforced disappearances
Noted,186.1.,Ratify ICCPR ,Albania,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1.,Ratify ICCPR ,Albania,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1., Ratify ICCPR and CPED ,Chile,A12,Acceptance of international norms
Noted,186.1., Ratify ICCPR and CPED ,Chile,D32,Enforced disappearances
Noted,186.1., Ratify ICCPR and CPED ,Chile,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1., Ratify ICCPR and CPED ,Chile,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1., Abide by its commitment of 2009 and establish a clear timeframe in order to ratify ICCPR ,Belgium,A12,Acceptance of international norms
Noted,186.1., Abide by its commitment of 2009 and establish a clear timeframe in order to ratify ICCPR ,Belgium,D32,Enforced disappearances
Noted,186.1., Abide by its commitment of 2009 and establish a clear timeframe in order to ratify ICCPR ,Belgium,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1., Abide by its commitment of 2009 and establish a clear timeframe in order to ratify ICCPR ,Belgium,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1.,Ratify both the ICCPR and the OP-CAT ,Hungary,A12,Acceptance of international norms
Noted,186.1.,Ratify both the ICCPR and the OP-CAT ,Hungary,D32,Enforced disappearances
Noted,186.1.,Ratify both the ICCPR and the OP-CAT ,Hungary,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1.,Ratify both the ICCPR and the OP-CAT ,Hungary,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1., Timely ratify the ICCPR ,Japan,A12,Acceptance of international norms
Noted,186.1., Timely ratify the ICCPR ,Japan,D32,Enforced disappearances
Noted,186.1., Timely ratify the ICCPR ,Japan,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1., Timely ratify the ICCPR ,Japan,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1.,"Ratify the ICCPR, which was signed by China in 1998 ",Maldives,A12,Acceptance of international norms
Noted,186.1.,"Ratify the ICCPR, which was signed by China in 1998 ",Maldives,D32,Enforced disappearances
Noted,186.1.,"Ratify the ICCPR, which was signed by China in 1998 ",Maldives,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1.,"Ratify the ICCPR, which was signed by China in 1998 ",Maldives,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1., Accede to the First OP to the ICCPR ,Maldives,A12,Acceptance of international norms
Noted,186.1., Accede to the First OP to the ICCPR ,Maldives,D32,Enforced disappearances
Noted,186.1., Accede to the First OP to the ICCPR ,Maldives,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1., Accede to the First OP to the ICCPR ,Maldives,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1.,"Ratify the ICCPR, which it signed in 1998 ",Spain,A12,Acceptance of international norms
Noted,186.1.,"Ratify the ICCPR, which it signed in 1998 ",Spain,D32,Enforced disappearances
Noted,186.1.,"Ratify the ICCPR, which it signed in 1998 ",Spain,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1.,"Ratify the ICCPR, which it signed in 1998 ",Spain,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1., Ratify ICCPR and OP-CAT ,Sierra Le one,A12,Acceptance of international norms
Noted,186.1., Ratify ICCPR and OP-CAT ,Sierra Le one,D32,Enforced disappearances
Noted,186.1., Ratify ICCPR and OP-CAT ,Sierra Le one,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1., Ratify ICCPR and OP-CAT ,Sierra Le one,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.1., Ratify the ICCPR  ,France,A12,Acceptance of international norms
Noted,186.1., Ratify the ICCPR  ,France,D32,Enforced disappearances
Noted,186.1., Ratify the ICCPR  ,France,D25,"Prohibition of torture and cruel, inhuman or degrading treatment"
Noted,186.1., Ratify the ICCPR  ,France,D1,Civil & political rights - general measures of implementationAffected persons:- disappeared persons- general
Noted,186.127.,"Reform its administrative justice system, including by eliminating “ reeducation through labour”, and ratify the ICCPR ",United States of America,A12,Acceptance of international norms
Noted,186.127.,"Reform its administrative justice system, including by eliminating “ reeducation through labour”, and ratify the ICCPR ",United States of America,D33,Arbitrary arrest and detention
Noted,186.127.,"Reform its administrative justice system, including by eliminating “ reeducation through labour”, and ratify the ICCPR ",United States of America,D51,Administration of justice & fair trial
Noted,186.127.,"Reform its administrative justice system, including by eliminating “ reeducation through labour”, and ratify the ICCPR ",United States of America,D1,Civil & political rights - general measures of implementationAffected persons:- general- persons deprived of their liberty
Noted,186.19.,Sign and ratify the OP-ICESCR and the OP-CRC-IC ,Portugal,A12,Acceptance of international norms
Noted,186.19.,Sign and ratify the OP-ICESCR and the OP-CRC-IC ,Portugal,E1,"Economic, social & cultural rights - general measures of implementation"
Noted,186.19.,Sign and ratify the OP-ICESCR and the OP-CRC-IC ,Portugal,F31,Children: definition; general principles; protection
Noted,186.19.,Sign and ratify the OP-ICESCR and the OP-CRC-IC ,Portugal,B51,Right to an effective remedyAffected persons:- general- children- persons affected by armed conflict
Noted,186.19., Sign the third OP-CRC -IC ,Albania,A12,Acceptance of international norms
Noted,186.19., Sign the third OP-CRC -IC ,Albania,E1,"Economic, social & cultural rights - general measures of implementation"
Noted,186.19., Sign the third OP-CRC -IC ,Albania,F31,Children: definition; general principles; protection
Noted,186.19., Sign the third OP-CRC -IC ,Albania,B51,Right to an effective remedyAffected persons:- general- children- persons affected by armed conflict
Supported,186.29.,Consider signing and ratifying the third OP-CRC-IC ,Seychelles,A12,Acceptance of international norms
Supported,186.29.,Consider signing and ratifying the third OP-CRC-IC ,Seychelles,F31,Children: definition; general principles; protection
Supported,186.29.,Consider signing and ratifying the third OP-CRC-IC ,Seychelles,B51,Right to an effective remedyAffected persons:- children- persons affected by armed conflict
Supported,186.24.,Consider acceding to the ICRMW ,Egypt,A12,Acceptance of international norms
Supported,186.24.,Consider acceding to the ICRMW ,Egypt,G4,MigrantsAffected persons:- migrants
Supported,186.25.,Consider becoming a party to the ICRMW ,Ghana,A12,Acceptance of international norms
Supported,186.25.,Consider becoming a party to the ICRMW ,Ghana,G4,MigrantsAffected persons:- migrants
Supported,186.26.,Consider the possibility of ratifying the ICRMW ,Guatemala,A12,Acceptance of international norms
Supported,186.26.,Consider the possibility of ratifying the ICRMW ,Guatemala,G4,MigrantsAffected persons:- migrants
Supported,186.65,Continue to maintain contact and constructive dialogue with the human rights treaty bodies  ,Nigeria,A22,Cooperation with treaty bodiesAffected persons:- general
Supported,186.64.,Continue to give consideration to the views of treaty bodies and other mechanisms ,Kenya,A22,Cooperation with treaty bodies
Supported,186.64.,Continue to give consideration to the views of treaty bodies and other mechanisms ,Kenya,A28,Cooperation with other international mechanisms and institutionsAffected persons:- general
Supported,186.63.,Continue its constructive and cooperative dialogue with the UN human rights system ,Azerbaijan,A22,Cooperation with treaty bodies
Supported,186.63.,Continue its constructive and cooperative dialogue with the UN human rights system ,Azerbaijan,A28,Cooperation with other international mechanisms and institutions
Supported,186.63.,Continue its constructive and cooperative dialogue with the UN human rights system ,Azerbaijan,A24,Cooperation with special proceduresAffected persons:- general
Supported,186.60.,"Keep up its commitment to uphold its human rights treaty obligations and engage constructively with the human rights mechanisms, including the special procedures ",Ghana,A22,Cooperation with treaty bodies
Supported,186.60.,"Keep up its commitment to uphold its human rights treaty obligations and engage constructively with the human rights mechanisms, including the special procedures ",Ghana,A28,Cooperation with other international mechanisms and institutions
Supported,186.60.,"Keep up its commitment to uphold its human rights treaty obligations and engage constructively with the human rights mechanisms, including the special procedures ",Ghana,A42,Institutions & policies - General
Supported,186.60.,"Keep up its commitment to uphold its human rights treaty obligations and engage constructively with the human rights mechanisms, including the special procedures ",Ghana,A41,Constitutional and legislative framework
Supported,186.60.,"Keep up its commitment to uphold its human rights treaty obligations and engage constructively with the human rights mechanisms, including the special procedures ",Ghana,A12,Acceptance of international norms
Supported,186.60.,"Keep up its commitment to uphold its human rights treaty obligations and engage constructively with the human rights mechanisms, including the special procedures ",Ghana,A24,Cooperation with special proceduresAffected persons:- general
Supported,186.69.,Intensify the cooperation with special rapporteurs mandate holders of the United Nations ,Benin,A24,Cooperation with special proceduresAffected persons:- general
Supported,186.69., Step up cooperation with Special Procedures and mandate holders ,Albania,A24,Cooperation with special proceduresAffected persons:- general
Noted,186.70.,Step up cooperation with the special procedures and consider extending a standing invitation to all special procedures mandate holders of the Human Rights Council ,Latvia,A24,Cooperation with special proceduresAffected persons:- general
Noted,186.70., Issue a standing invitation for UN human rights special procedures and accept all requested visits by mandate holders ,Hungary,A24,Cooperation with special proceduresAffected persons:- general
Supported,186.68.,"Consider the possibility of extending an invitation to special procedures to visit China taking into account the appropriate balance between economic, social and cultural rights and civil and political rights ",Ecuador,A24,Cooperation with special procedures
Supported,186.68.,"Consider the possibility of extending an invitation to special procedures to visit China taking into account the appropriate balance between economic, social and cultural rights and civil and political rights ",Ecuador,E1,"Economic, social & cultural rights - general measures of implementation"
Supported,186.68.,"Consider the possibility of extending an invitation to special procedures to visit China taking into account the appropriate balance between economic, social and cultural rights and civil and political rights ",Ecuador,D1,Civil & political rights - general measures of implementationAffected persons:- general
Supported,186.61.,Ensure that its citizens can freely engage in the UPR process ,Czech Republic,A27,Follow-up to Universal Periodic Review (UPR)
Supported,186.61.,Ensure that its citizens can freely engage in the UPR process ,Czech Republic,A6,"Context, statistics, budget, civil societyAffected persons:- general"
Noted,186.66.,Invite the UN Commission of Inquiry on H uman R ights in the Democratic People’s Republic of Korea to visit North-Eastern China to meet officials and North Korean citizens who have fled to China ,Canada,A28,Cooperation with other international mechanisms and institutionsAffected persons:- general
Supported,186.67.,"Continue to play an active role in the works of the Human Rights Council and continue to contribute in solving the issues relating to human rights in a fair, objective and non-selective manner ",Syrian Arab Republic,A28,Cooperation with other international mechanisms and institutionsAffected persons:- general
Supported,186.71.,Fully cooperate with OHCHR as well as special procedures ,France,A28,Cooperation with other international mechanisms and institutions
Supported,186.71.,Fully cooperate with OHCHR as well as special procedures ,France,A24,Cooperation with special proceduresAffected persons:- general
Noted,186.72.,Enhance cooperation with the OHCHR by agreeing to outstanding requests for visits to China and extending a standing invitation for future UN special procedures requests ,Australia,A28,Cooperation with other international mechanisms and institutions
Noted,186.72.,Enhance cooperation with the OHCHR by agreeing to outstanding requests for visits to China and extending a standing invitation for future UN special procedures requests ,Australia,A24,Cooperation with special proceduresAffected persons:- general
Supported,186.73.,Take the necessary concrete steps to facilitate a visit by the UN High Commissioner for Human Rights as soon as possible ,Austria,A28,Cooperation with other international mechanisms and institutions
Supported,186.73.,Take the necessary concrete steps to facilitate a visit by the UN High Commissioner for Human Rights as soon as possible ,Austria,G1,Members of minorities
Supported,186.73.,Take the necessary concrete steps to facilitate a visit by the UN High Commissioner for Human Rights as soon as possible ,Austria,A24,"Cooperation with special proceduresAffected persons:- general- minorities/ racial, ethnic, linguistic, religious or descent-based groups"
Supported,186.73., Organize a visit of the High Commissioner in the coming future ,Slovakia,A28,Cooperation with other international mechanisms and institutions
Supported,186.73., Organize a visit of the High Commissioner in the coming future ,Slovakia,G1,Members of minorities
Supported,186.73., Organize a visit of the High Commissioner in the coming future ,Slovakia,A24,"Cooperation with special proceduresAffected persons:- general- minorities/ racial, ethnic, linguistic, religious or descent-based groups"
Supported,186.73.," Facilitate the visits of the UN High Commissioner and the special procedures, including to Tibetan and Uighur areas ",Switzerland,A28,Cooperation with other international mechanisms and institutions
Supported,186.73.," Facilitate the visits of the UN High Commissioner and the special procedures, including to Tibetan and Uighur areas ",Switzerland,G1,Members of minorities
Supported,186.73.," Facilitate the visits of the UN High Commissioner and the special procedures, including to Tibetan and Uighur areas ",Switzerland,A24,"Cooperation with special proceduresAffected persons:- general- minorities/ racial, ethnic, linguistic, religious or descent-based groups"
Supported,186.248.,Continue its international cooperation to contribute to the development of the world economy ,Bangladesh,A3,Inter-State cooperation & development assistance
Supported,186.248.,Continue its international cooperation to contribute to the development of the world economy ,Bangladesh,B41,Right to developmentAffected persons:- general
Supported,186.249.,Strengthen standing efforts aiming at the realization of the right to development especially through sharing experiences and best practices with other developing countries ,Lebanon,A3,Inter-State cooperation & development assistance
Supported,186.249.,Strengthen standing efforts aiming at the realization of the right to development especially through sharing experiences and best practices with other developing countries ,Lebanon,B41,Right to developmentAffected persons:- general
Supported,186.251.,"Develop further its bilateral and multilateral cooperation and exchanges, notably in the area of economic, social and cultural rights ",Democratic Republic of the Congo,A3,Inter-State cooperation & development assistance
Supported,186.251.,"Develop further its bilateral and multilateral cooperation and exchanges, notably in the area of economic, social and cultural rights ",Democratic Republic of the Congo,E1,"Economic, social & cultural rights - general measures of implementation"
Supported,186.251.,"Develop further its bilateral and multilateral cooperation and exchanges, notably in the area of economic, social and cultural rights ",Democratic Republic of the Congo,B41,Right to developmentAffected persons:- general
Supported,186.250.,"Strengthen international cooperation with other countries on poverty reduction, the realization of the MDGs and good governance ",South Africa,A3,Inter-State cooperation & development assistance
Supported,186.250.,"Strengthen international cooperation with other countries on poverty reduction, the realization of the MDGs and good governance ",South Africa,E25,Human rights & poverty
Supported,186.250.,"Strengthen international cooperation with other countries on poverty reduction, the realization of the MDGs and good governance ",South Africa,A47,Good governance
Supported,186.250.,"Strengthen international cooperation with other countries on poverty reduction, the realization of the MDGs and good governance ",South Africa,B41,Right to development
Supported,186.250.,"Strengthen international cooperation with other countries on poverty reduction, the realization of the MDGs and good governance ",South Africa,E21,Right to an adequate standard of living - generalAffected persons:- general- persons living in poverty
Supported,186.50.,"Continue to improve the legal system, so that it reflects the will expressed through the reform of 2012, in order to further ensure the protection of human rights ",Niger,A41,Constitutional and legislative frameworkAffected persons:- general
Supported,186.53.,"Continue the reforms aimed at protecting and promoting human rights, particularly the strengthening of legislation and judicial guarantees ",Gabon,A41,Constitutional and legislative frameworkAffected persons:- general
Supported,186.54.,Continue its ongoing review of national laws to ensure that they are in line with its international human rights law obligations ,Turkmenistan,A41,Constitutional and legislative frameworkAffected persons:- general
Supported,186.52.,Concentrate on the implementation of the international human rights instruments that have been ratified by the country ,Afghanistan,A41,Constitutional and legislative framework
Supported,186.52.,Concentrate on the implementation of the international human rights instruments that have been ratified by the country ,Afghanistan,A42,Institutions & policies - GeneralAffected persons:- general
Supported,186.57.,Look into the possibility of establishing the national human rights institution in China ,Thailand,A45,National Human Rights Institution (NHRI)Affected persons:- general
Supported,186.33.,Implement the national plan of action for human rights for 2012 - 2015 and assess its implementation ,Sudan,A46,National Plans of Action on Human Rights (or specific areas)Affected persons:- general
Supported,186.36.,Continue its progressive efforts and measures to implement the second NHRAP ,Indonesia,A46,National Plans of Action on Human Rights (or specific areas)Affected persons:- general
Supported,186.38.,Continue its efforts for promotion of human rights with particular attention to the fulfilment of the NHRAP for 2012 – 2015 ,Ukraine,A46,National Plans of Action on Human Rights (or specific areas)Affected persons:- general
Supported,186.58.,Continue efforts in theoretical research related to national human rights organs ,Qatar,A46,National Plans of Action on Human Rights (or specific areas)Affected persons:- general
Supported,186.35.,Consider including civil society in the assessment sessions of the National Action Plan on Human Rights and in the formulation and preparation of the corresponding National Report ,Mexico,A46,National Plans of Action on Human Rights (or specific areas)
Supported,186.35.,Consider including civil society in the assessment sessions of the National Action Plan on Human Rights and in the formulation and preparation of the corresponding National Report ,Mexico,A27,Follow-up to Universal Periodic Review (UPR)
Supported,186.35.,Consider including civil society in the assessment sessions of the National Action Plan on Human Rights and in the formulation and preparation of the corresponding National Report ,Mexico,A61,Cooperation with civil societyAffected persons:- general
Supported,186.34.,Continue the successful implementation of the new National Human Rights Action Plan  for 2012-2015 through its cooperation with OHCHR (Azerbaijan),NHRAP,A46,National Plans of Action on Human Rights (or specific areas)
Supported,186.34.,Continue the successful implementation of the new National Human Rights Action Plan  for 2012-2015 through its cooperation with OHCHR (Azerbaijan),NHRAP,A28,Cooperation with other international mechanisms and institutionsAffected persons:- general
Supported,186.37.,Prioritize the implementation of its NHRAP and its 12th Five-Year Plan for Economic and Social Development in the ethnic regions of minority groups as well as for other under-privileged communities ,Sierra Leone,A46,National Plans of Action on Human Rights (or specific areas)
Supported,186.37.,Prioritize the implementation of its NHRAP and its 12th Five-Year Plan for Economic and Social Development in the ethnic regions of minority groups as well as for other under-privileged communities ,Sierra Leone,B31,Equality & non-discrimination
Supported,186.37.,Prioritize the implementation of its NHRAP and its 12th Five-Year Plan for Economic and Social Development in the ethnic regions of minority groups as well as for other under-privileged communities ,Sierra Leone,E1,"Economic, social & cultural rights - general measures of implementation"
Supported,186.37.,Prioritize the implementation of its NHRAP and its 12th Five-Year Plan for Economic and Social Development in the ethnic regions of minority groups as well as for other under-privileged communities ,Sierra Leone,B41,Right to development
Supported,186.37.,Prioritize the implementation of its NHRAP and its 12th Five-Year Plan for Economic and Social Development in the ethnic regions of minority groups as well as for other under-privileged communities ,Sierra Leone,G1,"Members of minoritiesAffected persons:- minorities/ racial, ethnic, linguistic, religious or descent-based groups"
Noted,186.59.,"Establish a national human rights institution, in accordance with the Paris Principles ",New Zealand,A46,National Plans of Action on Human Rights (or specific areas)
Noted,186.59.,"Establish a national human rights institution, in accordance with the Paris Principles ",New Zealand,H1,Human rights defenders
Noted,186.59.,"Establish a national human rights institution, in accordance with the Paris Principles ",New Zealand,A5,"Human rights education, trainings and awareness raising"
Noted,186.59.,"Establish a national human rights institution, in accordance with the Paris Principles ",New Zealand,A61,Cooperation with civil societyAffected persons:- general- media- human rights defenders
Noted,186.59.," Set up a national institution in line with the Paris Principles and ensure a climate that is favourable to the activities of human rights defenders, journalists and other civil society actors ",Tunisia,A46,National Plans of Action on Human Rights (or specific areas)
Noted,186.59.," Set up a national institution in line with the Paris Principles and ensure a climate that is favourable to the activities of human rights defenders, journalists and other civil society actors ",Tunisia,H1,Human rights defenders
